"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,71.0692665852008,2735
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,86.0926359675707,1758.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,88.0716964049282,2181.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,103.779440062872,334
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,103.783160071076,394
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,104.1035826178,78087.5
11,104.991705730583,595.7625,178256,161483,147165,148226,125292,125585,62.9773825782293,724
12,106.048265239254,664.1045,7677,7400,8976,8971,6713,6291,30.0317528298935,1543
12,106.048265239254,664.1045,7677,7400,8976,8971,6713,6291,42.0311378422116,57078.5
12,106.048265239254,664.1045,7677,7400,8976,8971,6713,6291,60.0411675116802,17895
12,106.048265239254,664.1045,7677,7400,8976,8971,6713,6291,70.0250263505164,814
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,26.0125327802848,805
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,29.0361892944729,3403.5
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,31.0152909359329,1744
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,31.9867785719956,471
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,38.0122033032864,738
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,39.0203058561678,11506
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,45.0303891301957,5476
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,53.0353594645852,12243.5
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,55.0513738095254,620004
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,57.0541629733949,86267
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,59.0462905743538,12565.5
13,106.084635025287,517.229,1651,1740,1526,1609,1509,1493,72.0777815821296,292905.5
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,38.0121902730339,544
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,45.0308416511262,2446.5
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,46.0260959104167,870
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,55.0263747218032,44639
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,56.0289090022961,1168.5
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,66.0302631550122,8876
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,67.051091518838,30172.5
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,68.0542302052386,2127
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,69.05310440513,459
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,70.0615949210267,2942
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,84.0765631591537,1877
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,91.0506654392601,2253
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,93.053390885155,3367
14,107.06891629238,57.238,37866,48273,37110,42335,40646,37694,94.0616009093829,3649
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,28.0157416347874,1509.5
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,30.0317557747161,7404.5
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,44.0465117986506,148968
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,64.9654955200587,4622
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,78.9808829648974,2066
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,80.960870934673,608
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,96.9902030176031,365
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,96.9921278285705,441
15,108.009972007179,508.05,36876,36071,32535,46848,37044,34316,108.007244529413,1342
16,108.993766896251,507.541,1027,943,699,594,375,831,28.0157677742931,1639
16,108.993766896251,507.541,1027,943,699,594,375,831,44.0465239259381,149197
16,108.993766896251,507.541,1027,943,699,594,375,831,64.9655079095422,5901
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,67.0383501618662,1233
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,68.0459617493477,3755.5
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,82.060317752612,515
