"ft.idx","mz.precursor","mz.product","rt(min)","rt(s)","Q1","Q3"
70,131.116212624931,91.050659808746,8.65,519.3,131.1,91.1
71,131.116415857177,72.0767615734148,9.32,559,131.1,72.1
72,132.075612837448,44.0473625345431,10.17,610,132.1,44
73,132.07911771064,91.0507721739102,7.29,437.7,132.1,91.1
74,132.101096442449,44.0473515742585,7.45,446.9,132.1,44
75,132.100253984231,70.0615465502684,3.95,236.7,132.1,70.1
76,133.030210733282,61.0072976111224,8.08,484.6,133,61
81,134.017300604084,55.051362918192,10.07,603.9,134,55.1
82,134.02557387624,58.9914007733213,6.41,384.6,134,59
83,134.043349535481,74.0201856016702,12.17,730.4,134,74
85,134.061703720952,59.9867993741078,1.21,72.5,134.1,60
86,135.028374127342,58.9914189516996,6.41,384.6,135,59
87,135.028121136836,44.0473532127093,7.43,445.8,135,44
88,136.060254277893,92.0203947219047,4.35,261.2,136.1,92
89,136.074582943841,91.0503301290766,8.64,518.3,136.1,91.1
90,136.938963354805,38.960763752839,8.81,528.4,136.9,39
91,137.045038042389,110.031271377973,4.64,278.6,137,110
93,137.045221690275,110.030562119576,6.07,364.2,137,110
94,137.069684313609,94.0615215083897,8.3,497.9,137.1,94.1
95,138.020343539431,56.0457544048016,2.35,140.9,138,56
96,138.053271762984,93.0533828692675,8.5,510.1,138.1,93.1
97,139.049117083729,93.0412651123006,8.35,500.9,139,93
98,140.066753777223,84.0766036208907,7.75,464.7,140.1,84.1
99,140.934297364622,38.9607771363951,8.81,528.4,140.9,39
100,141.064535269122,81.0413831442845,9.08,544.8,141.1,81
101,142.06370718951,91.0507540698815,7.29,437.7,142.1,91.1
102,142.084728061933,55.0513857026956,10.27,616.2,142.1,55.1
104,144.06411260331,55.0148270581432,12.36,741.6,144.1,55
106,144.063830231864,84.0411541011341,10.98,659,144.1,84
107,144.09988906723,58.0617043976222,10.51,630.4,144.1,58.1
108,144.100037846979,84.0765391515172,7.75,465.2,144.1,84.1
110,144.98332117814,84.9599231160346,9.93,595.8,145,85
111,145.047814749793,55.014826845889,12.36,741.6,145,55
112,145.132129472492,86.0925430230199,8.62,517.2,145.1,86.1
113,146.025419241298,58.9914242763006,6.42,385.1,146,59
114,146.058098496777,91.0506585631405,7.29,437.2,146.1,91.1
115,146.090622808413,86.0560307501153,10.45,626.9,146.1,86.1
116,146.116027361266,43.015410146178,11.12,667.2,146.1,43
117,147.042642457212,91.050612234159,8.64,518.3,147,91.1
118,147.045750613368,84.0404155784503,9.27,556,147,84
119,147.075310233501,84.0410971910141,11,660,147.1,84
120,147.110999756601,84.0771022839056,11.6,695.7,147.1,84.1
121,147.111028397613,84.0776179645353,15.81,948.7,147.1,84.1
122,148.001945082952,44.0473066989224,8.47,508.1,148,44
123,148.041341203327,74.0021552012263,9.54,572.3,148,74
124,148.041179819373,61.0070388614285,8.09,485.1,148,61
125,148.041505046014,74.0020754046407,10.8,647.8,148,74
126,148.059565787582,84.041565773247,11.97,718.2,148.1,84
127,148.110213463247,85.046620960589,4.88,292.8,148.1,85
128,149.057733491431,77.0348586962741,7.24,434.6,149.1,77
129,150.057000703018,61.0069604432335,8.08,484.6,150.1,61
130,150.075911716241,113.011254476619,7.96,477.5,150.1,113
131,150.111902424622,70.0615506599506,3.95,236.7,150.1,70.1
133,151.059727992183,81.0405224995372,2.91,174.5,151.1,81
136,152.05512980201,84.0775574633733,13.53,812,152.1,84.1
137,152.055235729191,135.025635787169,7.45,446.9,152.1,135
138,153.039088890364,110.029961369049,6.1,366.3,153,110
139,153.039173315716,46.0623015710702,9.11,546.8,153,46.1
140,153.063876190927,108.040588563056,2.21,132.7,153.1,108
141,154.014906406851,44.0464672929292,4.86,291.8,154,44
142,154.024290075122,59.0570820250382,8.96,537.6,154,59.1
144,155.008655118103,98.9799758138635,1.09,65.4,155,99
145,155.079658427483,82.0614865524142,5.27,316.3,155.1,82.1
146,155.127312050598,57.0414810531844,5.49,329.6,155.1,57
147,156.003881470985,58.0255561158908,13.13,787.5,156,58
148,156.039720951047,118.082616429228,7.74,464.2,156,118.1
150,156.075478404652,58.0619695966211,9.3,558,156.1,58.1
151,157.074564188827,132.076746869481,7.29,437.7,157.1,132.1
153,158.042778131903,84.0404899527995,9.28,557,158,84
154,158.042569324946,74.0200499583728,11.97,718.2,158,74
156,158.090444193766,70.061533596101,15.39,923.7,158.1,70.1
157,158.102183247961,58.0619792115074,7.14,428.5,158.1,58.1
158,159.026086356288,110.029977082617,6.08,364.7,159,110
159,159.025819881142,137.04174325635,4.61,276.5,159,137
160,159.063539770866,84.0765127734728,7.99,479.5,159.1,84.1
161,159.0749484065,84.0773445360479,11.58,694.7,159.1,84.1
162,159.090240053066,132.076607551185,7.29,437.7,159.1,132.1
163,159.111042295318,70.0616354180984,10.27,616.2,159.1,70.1
164,160.029297651969,137.04147663399,4.63,277.5,160,137
165,160.058669819121,58.0256536110712,13.09,785.5,160.1,58
167,160.095144087883,114.08679260667,9.09,545.3,160.1,114.1
168,160.10604809354,60.0410900431385,10.8,647.8,160.1,60
169,160.110636599801,145.085033219555,4.06,243.9,160.1,145.1
170,160.131437644332,135.025642723077,6.36,381.6,160.1,135
171,160.131933077654,55.0513992365698,11.37,682,160.1,55.1
172,160.899515924551,38.9607276218997,8.88,533,160.9,39
175,162.048240356555,72.0766932290676,8.62,517.2,162,72.1
